,volume,market_cap,high,low,close,open,date,log_diff,target
201,1890765.80129,1890765.80129,263.62,244.77,252.31,256.55,11-04-2021 17:00:00,-0.01666508717168469,0
202,1859281.88304,1859281.88304,257.0,219.16,256.34,221.13,10-04-2021 17:00:00,0.14775392443237045,1
203,688918.8215,688918.8215,228.99,218.72,221.12,226.17,09-04-2021 17:00:00,-0.022581388312414852,0
204,1074942.89645,1074942.89645,228.21,216.89,226.11,219.22,08-04-2021 17:00:00,0.030945814735910737,1
205,2263475.4652,2263475.4652,242.99,210.77,219.05,236.96,07-04-2021 17:00:00,-0.07859133625958137,0
206,2444849.53403,2444849.53403,244.59,212.97,237.04,221.48,06-04-2021 17:00:00,0.06789661131054281,1
207,1329743.7613,1329743.7613,225.47,198.07,221.48,202.24,05-04-2021 17:00:00,0.09087718099627384,1
208,565154.10714,565154.10714,204.92,192.22,202.21,195.17,04-04-2021 17:00:00,0.03543578770452793,1
209,956126.60492,956126.60492,217.97,194.85,195.23,211.44,03-04-2021 17:00:00,-0.07976291960132276,0
210,956126.60492,956126.60492,217.97,194.85,195.23,211.44,03-04-2021 17:00:00,-0.07976291960132276,0
211,942970.73038,942970.73038,213.77,200.78,211.46,202.87,02-04-2021 17:00:00,0.0414704754911428,1
212,876741.40869,876741.40869,205.0,194.0,202.86,196.69,01-04-2021 17:00:00,0.03088720068604811,1
213,698229.63786,698229.63786,198.99,187.0,196.7,195.71,31-03-2021 17:00:00,0.005045753678134979,1
214,932290.6498,932290.6498,200.09,190.34,195.74,193.73,30-03-2021 17:00:00,0.01032181089881945,1
215,904774.30423,904774.30423,197.6,182.45,193.73,184.22,29-03-2021 17:00:00,0.05033474153876494,1
216,380545.16211,380545.16211,187.29,180.0,184.24,184.06,28-03-2021 17:00:00,0.000977464101718617,1
217,475886.83873,475886.83873,186.12,177.75,184.06,183.44,27-03-2021 17:00:00,0.0033741528610624627,1
218,721838.20194,721838.20194,183.82,171.44,183.45,171.53,26-03-2021 17:00:00,0.06718397237955731,1
219,956666.86464,956666.86464,179.03,167.86,171.53,176.05,25-03-2021 17:00:00,-0.026009867179327628,0
220,1189902.97985,1189902.97985,197.17,172.0,176.05,185.82,24-03-2021 17:00:00,-0.05401041761210479,0
221,638849.27686,638849.27686,189.44,181.12,185.83,185.69,23-03-2021 17:00:00,0.0007536606730544904,1
222,725506.72916,725506.72916,199.0,184.42,185.67,195.33,22-03-2021 17:00:00,-0.05071953149750019,0
