,volume,market_cap,high,low,close,open,date
253,1644947.14813,1644947.14813,154.99,138.44,151.96,142.78,18-01-2021 17:00:00
254,1379082.3792,1379082.3792,147.0,136.22,142.8,143.52,17-01-2021 17:00:00
255,1784053.82975,1784053.82975,152.59,139.28,143.52,143.66,16-01-2021 17:00:00
256,2104225.5121,2104225.5121,155.74,130.0,143.65,152.46,15-01-2021 17:00:00
257,2033762.60027,2033762.60027,156.89,143.55,152.5,147.39,14-01-2021 17:00:00
258,2153426.27798,2153426.27798,148.46,125.9,147.38,133.44,13-01-2021 17:00:00
259,2825579.61257,2825579.61257,146.86,128.0,133.42,138.88,12-01-2021 17:00:00
260,4989528.65149,4989528.65149,170.74,112.7,138.87,170.06,11-01-2021 17:00:00
261,2269705.0446,2269705.0446,185.83,161.86,170.07,177.27,10-01-2021 17:00:00
262,1749781.84973,1749781.84973,178.8,163.3,177.26,172.28,09-01-2021 17:00:00
263,2843159.7034,2843159.7034,181.92,150.0,172.19,169.35,08-01-2021 17:00:00
264,2493533.9948,2493533.9948,181.22,161.18,169.35,168.96,07-01-2021 17:00:00
265,1857831.43166,1857831.43166,169.72,154.95,168.92,158.46,06-01-2021 17:00:00
266,1998205.92425,1998205.92425,162.8,146.52,158.43,155.33,05-01-2021 17:00:00
267,3530422.20392,3530422.20392,173.66,139.31,155.34,161.23,04-01-2021 17:00:00
268,3813834.07669,3813834.07669,164.7,135.3,161.24,136.94,03-01-2021 17:00:00
269,2442266.765,2442266.765,142.0,123.15,136.96,126.2,02-01-2021 17:00:00
270,1727676.641,1727676.641,133.11,122.63,130.05,128.8,30-12-2020 17:00:00
271,1732248.38409,1732248.38409,130.9,120.0,128.8,129.84,29-12-2020 17:00:00
272,2349842.95502,2349842.95502,137.41,126.37,129.83,127.83,28-12-2020 17:00:00
273,3743173.13001,3743173.13001,139.47,121.88,127.88,129.61,27-12-2020 17:00:00
274,3743173.13001,3743173.13001,139.47,121.88,127.88,129.61,27-12-2020 17:00:00
275,3461075.6473,3461075.6473,135.19,124.94,129.61,127.74,26-12-2020 17:00:00
276,3117913.94898,3117913.94898,128.63,108.18,127.78,111.13,25-12-2020 17:00:00
277,2696980.51697,2696980.51697,112.32,98.55,111.13,102.46,24-12-2020 17:00:00
278,3210319.32528,3210319.32528,114.63,98.35,114.32,104.48,22-12-2020 17:00:00
279,2599527.81365,2599527.81365,118.65,100.31,104.45,114.59,21-12-2020 17:00:00
280,2671305.32839,2671305.32839,123.21,109.76,114.58,119.85,20-12-2020 17:00:00
281,4161454.89253,4161454.89253,109.8,90.0,101.01,92.94,17-12-2020 17:00:00
282,2349124.19924,2349124.19924,93.44,78.31,92.94,81.36,16-12-2020 17:00:00
283,1348469.20889,1348469.20889,84.93,80.39,81.32,82.38,15-12-2020 17:00:00
284,1102081.73026,1102081.73026,82.98,79.11,82.35,82.27,14-12-2020 17:00:00
285,1278882.98328,1278882.98328,84.38,75.52,82.28,76.64,13-12-2020 17:00:00
286,872394.12884,872394.12884,77.58,71.97,76.67,72.2,12-12-2020 17:00:00
287,900570.5582,900570.5582,77.66,72.51,74.7,77.41,10-12-2020 17:00:00
288,1378314.59353,1378314.59353,78.14,72.13,77.41,76.75,09-12-2020 17:00:00
289,1230953.86975,1230953.86975,84.83,75.41,76.76,83.37,08-12-2020 17:00:00
290,1230953.86975,1230953.86975,84.83,75.41,76.76,83.37,08-12-2020 17:00:00
291,1145446.47407,1145446.47407,86.87,81.73,83.37,83.54,07-12-2020 17:00:00
292,921046.75996,921046.75996,85.19,80.31,83.55,83.11,06-12-2020 17:00:00
293,1278363.44579,1278363.44579,84.28,78.61,83.14,79.52,05-12-2020 17:00:00
294,1690248.45885,1690248.45885,91.5,85.46,89.0,88.89,03-12-2020 17:00:00
295,2135078.47937,2135078.47937,90.63,82.61,88.9,85.07,02-12-2020 17:00:00
296,3600461.26285,3600461.26285,93.01,79.56,85.08,87.66,01-12-2020 17:00:00
297,2118965.66781,2118965.66781,88.46,76.63,87.65,78.89,30-11-2020 17:00:00
298,2118965.66781,2118965.66781,88.46,76.63,87.65,78.89,30-11-2020 17:00:00
299,1483068.35897,1483068.35897,74.97,68.26,72.7,69.18,28-11-2020 17:00:00
300,1707521.50402,1707521.50402,73.5,65.3,69.15,70.99,27-11-2020 17:00:00
301,3435959.29518,3435959.29518,83.29,64.45,71.0,81.75,26-11-2020 17:00:00
302,1631940.24087,1631940.24087,90.76,78.05,81.75,89.27,25-11-2020 17:00:00
303,2621715.64303,2621715.64303,94.02,84.6,89.25,89.04,24-11-2020 17:00:00
304,2535636.06789,2535636.06789,90.93,80.8,89.03,82.87,23-11-2020 17:00:00
305,2521719.40828,2521719.40828,88.5,80.1,87.14,82.55,21-11-2020 17:00:00
306,2386175.15236,2386175.15236,85.63,79.99,82.53,81.54,20-11-2020 17:00:00
307,2773824.05583,2773824.05583,83.4,71.47,81.53,73.41,19-11-2020 17:00:00
308,2653342.04102,2653342.04102,77.13,67.77,73.42,76.32,18-11-2020 17:00:00
309,2653342.04102,2653342.04102,77.13,67.77,73.42,76.32,18-11-2020 17:00:00
310,2844994.89879,2844994.89879,77.0,71.36,76.32,73.83,17-11-2020 17:00:00
311,685249.75502,685249.75502,64.43,61.08,62.28,63.83,15-11-2020 17:00:00
312,824536.88147,824536.88147,60.53,57.8,59.27,57.94,11-11-2020 17:00:00
313,639990.21607,639990.21607,59.6,57.04,57.93,59.22,10-11-2020 17:00:00
