,Date,timestamp,Close,target,Unnamed: 0,date,close,target,VEC.timestamp,VEC.COINJOURNA.text_COUNT_last1days:bitcoin,VEC.COINJOURNA.text_last1days:bitcoin
532,17-6-2021 23:58:0,1623974280.0,1.482249637,0,532.0,17-08-2021 17:00:00,44695.95,0.0,1629219600.0,7.0,"['#markets #etoro where to buy audius: 107% rally after tiktok news', 'policyandregulation bitcoin bitcoin adoption could damage el salvadors credit rating fitch', '#markets #etoro where to buy serum as srm records 200% gains in a month', 'markets etoro where to buy ryoshi token real doge killer climbs 237', '#markets #uniswap uniswap price analysis: bulls face pressure as uni slides 4_5%', '#markets #etoro where to buy kin: crypto resurgent with 100% weekly gains', '#markets #bitcoin bitcoin miner revenue climbs 57% to return to 2020 levels']"
533,18-6-2021 23:58:0,1624060680.0,1.41329987,0,533.0,17-08-2021 17:00:00,44695.95,0.0,1629219600.0,7.0,"['#markets #etoro where to buy audius: 107% rally after tiktok news', 'policyandregulation bitcoin bitcoin adoption could damage el salvadors credit rating fitch', '#markets #etoro where to buy serum as srm records 200% gains in a month', 'markets etoro where to buy ryoshi token real doge killer climbs 237', '#markets #uniswap uniswap price analysis: bulls face pressure as uni slides 4_5%', '#markets #etoro where to buy kin: crypto resurgent with 100% weekly gains', '#markets #bitcoin bitcoin miner revenue climbs 57% to return to 2020 levels']"
534,19-6-2021 23:58:0,1624147080.0,1.386612573,0,534.0,18-08-2021 17:00:00,44705.29,1.0,1629306000.0,5.0,"['#technology #ethereum dex aggregator 1inch deploys on optimistic ethereum', '#markets #etoro where to buy catzcoin: catz purrs with 129% climb', '#markets #etoro where to buy coco swap: 87% surge takes coco to new highs', '#markets #etoro where to buy helium: bull run continues, hnt reaches ath', '#markets #etoro where to buy avalanche: avax rises by 18%']"
535,20-6-2021 23:58:0,1624233480.0,1.425407144,1,535.0,18-08-2021 17:00:00,44705.29,1.0,1629306000.0,5.0,"['#technology #ethereum dex aggregator 1inch deploys on optimistic ethereum', '#markets #etoro where to buy catzcoin: catz purrs with 129% climb', '#markets #etoro where to buy coco swap: 87% surge takes coco to new highs', '#markets #etoro where to buy helium: bull run continues, hnt reaches ath', '#markets #etoro where to buy avalanche: avax rises by 18%']"
536,21-6-2021 23:58:0,1624319880.0,1.177083675,0,536.0,19-08-2021 17:00:00,46760.62,1.0,1629392400.0,6.0,"['#markets #etoro where to buy thirm protocol: thirm climbs 167% to new high', '#markets #etoro where to buy alpaca finance: alpaca transactions skyrocket', '#markets #etoro where to buy mobox: mbox hits ath, looks set to keep rising', '#crime #bitcoin darknet btc mixer operator pleads guilty in 300m laundering scheme', '#markets #bitcoin bitcoin price holds above 44k as bulls seek fresh momentum', '#markets #etoro where to buy quant as qnt records 20% increase in a week']"
537,22-6-2021 23:58:0,1624406280.0,1.149566007,0,537.0,20-08-2021 17:00:00,49322.47,1.0,1629478800.0,5.0,"['markets etoro treatdao is todays top crypto the best place to buy treat after 450 surge', '#markets #etoro where to buy cryptozoo: zoo jumps 109% as nft games rise up', '#markets #ripple xrp price soars above 1_25 as buyers target new weekly highs', '#markets #etoro where to buy minifootball: trending coin surges 281% today', '#markets #etoro where to buy swissborg: chsb pumps 26% on bitfinex news']"
538,23-6-2021 23:58:0,1624492680.0,1.249254494,1,538.0,21-08-2021 17:00:00,48821.87,0.0,1629565200.0,0.0,[]
539,24-6-2021 23:58:0,1624579080.0,1.357134773,1,539.0,22-08-2021 17:00:00,49239.22,1.0,1629651600.0,0.0,[]
540,25-6-2021 23:58:0,1624665480.0,1.25655687,0,540.0,23-08-2021 17:00:00,49488.85,1.0,1629738000.0,6.0,"['#crime #bitcoin sweden to pay 1_5m worth of btc to convicted drug dealer', '#markets #bitcoin bitcoin price breaks above 50k as investors eye more gains', '#markets #etoro where to buy loopring as lrc reignites bull rally with 45% gains', '#markets #etoro where to buy cardano: ada blasts through all-time high', '#markets #etoro is republic of dogs the next dogecoin? where to buy rod after 680% weekly profit', '#markets #etoro where to buy halodao as price reaches near 1 with 67% gains']"
541,26-6-2021 23:58:0,1624751880.0,1.250547097,0,541.0,24-08-2021 17:00:00,47674.01,0.0,1629824400.0,7.0,"['#markets #etoro where to buy enjin: enj up 59% since etoro listing', '#markets #etoro where to buy terra: another ath for luna as price skyrockets', '#markets #etoro where to buy cryptozoon: zoon surges 123% to new highs', 'business bitcoin riot blockchains mining revenue increased by 1540  report', '#policyandregulation #bitcoin cryptocurrency not protected by law says chinese court', '#markets #etoro avax pumps 200% in 2 weeks: where to buy avalanche', '#business #bitcoin substack now accepts bitcoin payments on the lightning network']"
